Date,area B - LAI
10-01-2015,5.45
20-01-2015,5.47
31-01-2015,5.45
10-02-2015,5.4
20-02-2015,5.4
28-02-2015,5.46
10-03-2015,5.43
20-03-2015,5.42
31-03-2015,5.33
10-04-2015,5.35
20-04-2015,5.39
30-04-2015,5.42
10-05-2015,5.34
20-05-2015,5.37
31-05-2015,5.44
10-06-2015,5.51
20-06-2015,5.51
30-06-2015,5.5
10-07-2015,5.49
20-07-2015,5.56
31-07-2015,5.63
10-08-2015,5.58
20-08-2015,5.73
31-08-2015,5.83
10-09-2015,5.93
20-09-2015,5.92
30-09-2015,5.86
10-10-2015,5.92
20-10-2015,5.74
31-10-2015,5.7
10-11-2015,5.63
20-11-2015,5.11
30-11-2015,5.01
10-12-2015,5.06
20-12-2015,5.02
31-12-2015,4.99
10-01-2016,4.99
20-01-2016,4.93
31-01-2016,4.98
10-02-2016,5.08
20-02-2016,5.28
29-02-2016,5.29
10-03-2016,5.34
20-03-2016,5.49
31-03-2016,5.58
10-04-2016,5.58
20-04-2016,5.54
30-04-2016,5.44
10-05-2016,5.37
20-05-2016,5.44
31-05-2016,5.63
10-06-2016,5.61
20-06-2016,5.62
30-06-2016,5.66
10-07-2016,5.68
20-07-2016,5.65
31-07-2016,5.44
10-08-2016,5.36
20-08-2016,5.44
31-08-2016,5.56
10-09-2016,5.49
20-09-2016,5.54
30-09-2016,5.55
10-10-2016,5.64
20-10-2016,5.62
31-10-2016,5.66
10-11-2016,5.67
20-11-2016,5.67
30-11-2016,5.68
10-12-2016,5.68
20-12-2016,5.68
31-12-2016,5.69
10-01-2017,5.68
20-01-2017,5.66
31-01-2017,5.66
10-02-2017,5.78
20-02-2017,5.87
28-02-2017,5.86
10-03-2017,5.67
20-03-2017,5.86
31-03-2017,5.86
10-04-2017,5.85
20-04-2017,5.85
30-04-2017,5.85
10-05-2017,5.85
20-05-2017,5.85
31-05-2017,5.85
10-06-2017,5.83
20-06-2017,5.81
30-06-2017,5.69
10-07-2017,5.64
20-07-2017,5.62
31-07-2017,5.63
10-08-2017,5.65
20-08-2017,5.71
31-08-2017,5.71
10-09-2017,5.72
20-09-2017,5.71
30-09-2017,5.71
10-10-2017,5.73
20-10-2017,5.73
31-10-2017,5.73
10-11-2017,5.72
20-11-2017,5.71
30-11-2017,5.69
10-12-2017,5.64
20-12-2017,5.61
31-12-2017,5.58
10-01-2018,5.57
20-01-2018,5.56
31-01-2018,5.5
10-02-2018,5.5
20-02-2018,5.5
28-02-2018,5.49
10-03-2018,5.49
20-03-2018,5.49
31-03-2018,5.48
10-04-2018,5.48
20-04-2018,5.48
30-04-2018,5.45
10-05-2018,5.48
20-05-2018,5.39
31-05-2018,5.39
10-06-2018,5.37
20-06-2018,5.25
30-06-2018,5.31
10-07-2018,5.3
20-07-2018,5.49
31-07-2018,5.51
10-08-2018,5.56
20-08-2018,5.55
31-08-2018,5.55
10-09-2018,5.55
20-09-2018,5.55
30-09-2018,5.54
10-10-2018,5.54
20-10-2018,5.55
31-10-2018,5.56
10-11-2018,5.55
20-11-2018,5.52
30-11-2018,5.54
10-12-2018,5.53
20-12-2018,5.52
31-12-2018,5.49
10-01-2019,5.5
20-01-2019,5.48
31-01-2019,5.48
10-02-2019,5.48
20-02-2019,5.48
28-02-2019,5.48
10-03-2019,5.47
20-03-2019,5.47
31-03-2019,5.47
10-04-2019,5.46
20-04-2019,5.46
30-04-2019,5.46
10-05-2019,5.44
20-05-2019,5.43
31-05-2019,5.43
10-06-2019,5.51
20-06-2019,5.49
30-06-2019,5.43
10-07-2019,5.41
20-07-2019,5.4
31-07-2019,5.39
10-08-2019,5.38
20-08-2019,5.46
31-08-2019,5.47
10-09-2019,5.52
20-09-2019,5.51
30-09-2019,5.51
10-10-2019,5.52
20-10-2019,5.51
31-10-2019,5.49
10-11-2019,5.49
20-11-2019,5.46
30-11-2019,5.46
10-12-2019,5.53
20-12-2019,5.48
31-12-2019,5.39
10-01-2020,5.36
20-01-2020,5.35
31-01-2020,5.29
10-02-2020,5.25
20-02-2020,5.24
29-02-2020,5.24
10-03-2020,5.23
20-03-2020,5.23
31-03-2020,5.23
10-04-2020,5.23
20-04-2020,5.23
30-04-2020,5.21
10-05-2020,5.2
20-05-2020,5.2
31-05-2020,5.2
10-06-2020,5.2
20-06-2020,5.2
30-06-2020,5.21
10-07-2020,5.21
20-07-2020,5.21
31-07-2020,5.21
10-08-2020,5.21
20-08-2020,5.21
31-08-2020,5.21
10-09-2020,5.21
20-09-2020,5.21
30-09-2020,5.21
10-10-2020,5.21
20-10-2020,NA
31-10-2020,6.28
10-11-2020,6.24
20-11-2020,6.21
30-11-2020,6.19
10-12-2020,6.17
20-12-2020,6.15
31-12-2020,6.13
10-01-2021,6.08
20-01-2021,6.04
31-01-2021,6.07
10-02-2021,6.09
20-02-2021,6.1
28-02-2021,6.11
10-03-2021,6.12
20-03-2021,6.06
31-03-2021,6.07
10-04-2021,6.1
20-04-2021,6.15
30-04-2021,6.15
10-05-2021,6.15
20-05-2021,6.16
31-05-2021,6.12
10-06-2021,6.08
20-06-2021,6.04
30-06-2021,6.01
10-07-2021,6.02
20-07-2021,6.07
31-07-2021,6.11
10-08-2021,6.13
20-08-2021,6.15
31-08-2021,6.15
10-09-2021,6.18
20-09-2021,6.16
30-09-2021,6.2
10-10-2021,6.25
20-10-2021,6.27
31-10-2021,6.28
10-11-2021,6.27
20-11-2021,6.26
30-11-2021,6.25
10-12-2021,6.24
20-12-2021,6.14
31-12-2021,6.12
10-01-2022,6.12
