Date,area_D - LAI
10-01-2015,2.93
20-01-2015,2.97
31-01-2015,3.03
10-02-2015,3.11
20-02-2015,3.03
28-02-2015,3.16
10-03-2015,3.01
20-03-2015,2.91
31-03-2015,2.58
10-04-2015,2.24
20-04-2015,2.23
30-04-2015,2.29
10-05-2015,2.54
20-05-2015,2.74
31-05-2015,2.73
10-06-2015,2.78
20-06-2015,2.83
30-06-2015,2.8
10-07-2015,2.66
20-07-2015,2.63
31-07-2015,2.41
10-08-2015,2.26
20-08-2015,2.43
31-08-2015,2.53
10-09-2015,2.62
20-09-2015,2.75
30-09-2015,2.93
10-10-2015,2.96
20-10-2015,2.98
31-10-2015,2.98
10-11-2015,2.8
20-11-2015,2.68
30-11-2015,2.61
10-12-2015,2.41
20-12-2015,2.4
31-12-2015,2.31
10-01-2016,2.28
20-01-2016,2.38
31-01-2016,2.58
10-02-2016,2.71
20-02-2016,2.9
29-02-2016,2.91
10-03-2016,2.77
20-03-2016,2.8
31-03-2016,2.82
10-04-2016,2.74
20-04-2016,2.77
30-04-2016,2.73
10-05-2016,2.72
20-05-2016,2.88
31-05-2016,3.13
10-06-2016,3.36
20-06-2016,3.36
30-06-2016,3.38
10-07-2016,3.28
20-07-2016,3.27
31-07-2016,3.07
10-08-2016,2.87
20-08-2016,2.76
31-08-2016,2.7
10-09-2016,2.73
20-09-2016,2.85
30-09-2016,2.92
10-10-2016,2.95
20-10-2016,2.84
31-10-2016,2.91
10-11-2016,2.93
20-11-2016,2.89
30-11-2016,2.76
10-12-2016,2.71
20-12-2016,2.78
31-12-2016,2.88
10-01-2017,2.9
20-01-2017,2.88
31-01-2017,3
10-02-2017,2.94
20-02-2017,2.91
28-02-2017,2.89
10-03-2017,2.75
20-03-2017,2.91
31-03-2017,2.98
10-04-2017,2.65
20-04-2017,2.47
30-04-2017,2.45
10-05-2017,2.86
20-05-2017,3
31-05-2017,3.2
10-06-2017,2.97
20-06-2017,2.83
30-06-2017,3.21
10-07-2017,3.13
20-07-2017,2.91
31-07-2017,2.99
10-08-2017,2.96
20-08-2017,2.69
31-08-2017,2.86
10-09-2017,2.99
20-09-2017,2.94
30-09-2017,2.94
10-10-2017,2.69
20-10-2017,2.66
31-10-2017,2.95
10-11-2017,3.07
20-11-2017,2.97
30-11-2017,2.91
10-12-2017,2.84
20-12-2017,2.78
31-12-2017,2.8
10-01-2018,2.97
20-01-2018,2.99
31-01-2018,3.17
10-02-2018,3.23
20-02-2018,3.43
28-02-2018,3.34
10-03-2018,3.38
20-03-2018,3.31
31-03-2018,3.1
10-04-2018,2.98
20-04-2018,2.77
30-04-2018,2.61
10-05-2018,2.65
20-05-2018,2.91
31-05-2018,3.13
10-06-2018,3.17
20-06-2018,3.23
30-06-2018,3.34
10-07-2018,3.37
20-07-2018,3.44
31-07-2018,3.38
10-08-2018,3.25
20-08-2018,2.92
31-08-2018,2.73
10-09-2018,2.97
20-09-2018,3.06
30-09-2018,3.17
10-10-2018,3.23
20-10-2018,3.25
31-10-2018,3.24
10-11-2018,3.01
20-11-2018,2.93
30-11-2018,2.93
10-12-2018,2.84
20-12-2018,2.89
31-12-2018,3.02
10-01-2019,3.13
20-01-2019,2.96
31-01-2019,2.92
10-02-2019,2.97
20-02-2019,3.15
28-02-2019,3.34
10-03-2019,3.33
20-03-2019,3.24
31-03-2019,2.94
10-04-2019,2.78
20-04-2019,2.71
30-04-2019,2.89
10-05-2019,3.03
20-05-2019,3.07
31-05-2019,3.15
10-06-2019,3.35
20-06-2019,3.48
30-06-2019,3.49
10-07-2019,3.29
20-07-2019,2.97
31-07-2019,3.14
10-08-2019,3.23
20-08-2019,3.19
31-08-2019,3.33
10-09-2019,3.18
20-09-2019,3.31
30-09-2019,3.2
10-10-2019,3.15
20-10-2019,3.22
31-10-2019,3.27
10-11-2019,3.09
20-11-2019,3.12
30-11-2019,2.99
10-12-2019,2.88
20-12-2019,2.77
31-12-2019,2.7
10-01-2020,2.72
20-01-2020,2.85
31-01-2020,2.89
10-02-2020,2.95
20-02-2020,3.04
29-02-2020,3.12
10-03-2020,2.96
20-03-2020,3
31-03-2020,2.78
10-04-2020,2.77
20-04-2020,2.88
30-04-2020,3.04
10-05-2020,3.26
20-05-2020,3.33
31-05-2020,3.46
10-06-2020,3.64
20-06-2020,3.72
30-06-2020,3.67
10-07-2020,3.43
20-07-2020,3.23
31-07-2020,3.27
10-08-2020,3.34
20-08-2020,3.41
31-08-2020,3.46
10-09-2020,2.95
20-09-2020,1.68
30-09-2020,0.71
10-10-2020,0.4
20-10-2020,0.4
31-10-2020,0.44
10-11-2020,0.45
20-11-2020,0.47
30-11-2020,0.5
10-12-2020,NA
20-12-2020,0.54
31-12-2020,0.53
10-01-2021,0.51
20-01-2021,0.45
31-01-2021,0.42
10-02-2021,0.39
20-02-2021,NA
28-02-2021,NA
10-03-2021,0.41
20-03-2021,0.43
31-03-2021,0.46
10-04-2021,0.51
20-04-2021,0.53
30-04-2021,0.55
10-05-2021,0.56
20-05-2021,0.59
31-05-2021,0.57
10-06-2021,0.6
20-06-2021,0.6
30-06-2021,0.61
10-07-2021,0.61
20-07-2021,0.62
31-07-2021,0.6
10-08-2021,0.61
20-08-2021,0.6
31-08-2021,0.6
10-09-2021,0.65
20-09-2021,0.66
30-09-2021,0.69
10-10-2021,0.71
20-10-2021,0.68
31-10-2021,0.76
10-11-2021,0.7
20-11-2021,0.73
30-11-2021,0.75
10-12-2021,0.7
20-12-2021,0.63
31-12-2021,0.72
10-01-2022,0.74
